name,image_url,description,cuisine,course,diet,ingredients,instructions,calories,carbs,protein,fiber
Avarekalu Kadubu Recipe (Hyacinth Beans Steamed Dumplings),https://www.archanaskitchen.com/images/archanaskitchen/1-Author/nithya.anantham/Avarekalu_Kadubu_Recipe_Hyacinth_Beans_Steamed_Dumplings.jpg,"Bored of your regular muesli, sandwiches, idli/dosa or poha breakfasts? Try this healthy north karnataka style Avarekalu Kadubu Recipe (Hyacinth Beans Steamed Dumplings). Avarekalu are hyacinth beans which are rich in calcium and iron. The healthy beans are boiled and mixed with the spiced cream of rice mixture, and then steamed into small balls. It is soft, spicy and the rice rava adds a nice crumbly texture to the dumpling. Serve theÂ Avarekalu Kadubu Recipe (Hyacinth Beans Steamed Dumplings) along with South Indian Coconut Chutney  for breakfast along with South Indian Filter Coffee RecipeÂ or as an after school snack for the kids.",Karnataka,South Indian Breakfast,Vegetarian,"

							 		1 cup Rice rava 

							 		1/2 cup Avarekalu / Lilva Beans							 		, boiled							 	

							 		1 Green Chillies							 		, finely chopped							 	

							 		1 sprig Curry leaves							 		, finely chopped							 	

							 		1 teaspoon Cumin seeds (Jeera) 

Salt							 		, to taste							 	
","To begin makingÂ Avarekalu Kadubu Recipe (Hyacinth Beans Steamed Dumplings), take a kadai and dry roast the rice rava on a medium heat for about 5 minutes or until fragrant and pour it out on a bowl. Keep aside.Boil hyacinth beans with a little salt in water until they are cooked well. This will take around 10 minutes. It is better not to use a pressure cooker; use a saucepan to cook the lilva beans since they will retain their shape and wont be mushy.Drain and keep aside on a plate to cool till handleable. You can reserve the drained water to use for later.Put the idli steamer on medium heat with a cup water added to it.Take a bowl, add the dry roasted rice rava, boiled hyacinth beans, chopped curry leaves, chilli, cumin seeds, season with salt and mix well.To this add 1/2 cup lukewarm water (you can use the stock of water that you cooked the avarekalu in) and mix well. The mixture should be crumbly but should hold the shape if pressed tightly between fingers and palm.Take a small portion of the mixture, and hold it tightly to form a ball. Likewise, form small balls of kadubu with the rest of the mixture.Place these kadubu into the steamer, close it with a lid and steam for about 8 minutes on medium high heat or till firm and done.Serve theÂ Avarekalu Kadubu Recipe (Hyacinth Beans Steamed Dumplings) along withÂ South Indian Coconut ChutneyÂ for breakfast along withÂ South Indian Filter Coffee RecipeÂ or as an after school snack for the kids.",697,127.1034,48.5784,31.6379
Assamese Poita Bhat With Aloo Pitika Recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/jyothir/Poita_Bhat_with_Aloo_Pitika_Assamese_Breakfast.jpg,"Assamese Poita bhat is a very humble breakfast dish. Itâs a healthy body coolant for summers with poita bhat with aloo pitika isÂ so comforting! The slightly fermented rice has lot more health benefits.Â  It is believed that regular consumption of this kanji can ease you from your stomach ulcers, prevents you from dehydration during summers, and is also rich is vitamins (vitamin B12 in specific). Â So next time you have leftover rice from your dinner, turn it into a soothing and comforting breakfast for next morning by soaking the left over rice in water overnight.",Assamese,North Indian Breakfast,Gluten Free,"
For Poita Bhat

							 		1 cup Cooked rice							 		, soaked in 2 cups water over night							 	

							 		1/4 cup Curd (Dahi / Yogurt)							 		, or Â½ cup buttermilk							 	

							 		2 tablespoon Onions							 		, chopped							 	

							 		2 Green Chillies							 		, finely chopped							 	

Salt							 		, to taste							 	
For Aloo Pitika

							 		3 Potatoes (Aloo) 

							 		1/2 teaspoon Turmeric powder (Haldi) 

							 		1 tablespoon Mustard oil 

							 		2 Green Chillies 

Salt							 		, to taste							 	
","To prepare Assamese Poita Bhat With Aloo Pitika Recipe, soak leftover rice rice in 2 cups water overnight.Next morning, add beaten curd or buttermilk and mix well in a mixing bowl. Add salt, chopped onions and green chilies. Keep aside.To prepare aloo pitika, boil potatoes, peel the skin and mash it well. Make sure no lumpy pieces are present.Heat mustard oil in a kadai and when oil turns smoking hot, add turmeric powder.Whisk it quickly and pour it into mashed potatoes. Mix well.Add chopped green chilies and mix again. Aloo pitika is ready.Serve Assamese Poita Bhat With Aloo Pitika Recipe for breakfast.",510,31.48791667,52.69050208,2.768854167
Mangalore Style Southe Gatti/Southekayi kadubu Recipe (Steamed Cucumber Dumplings),https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Mangalore_Style_Southe_GattiSouthekayi_kadubu_Recipe_Steamed_Cucumber_Dumplings.jpg,"Mangalore Style Southe Gatti/Southekayi kadubu Recipe (Steamed Cucumber Dumplings) is a hot steamed rice and cucumber dumpling. Gatti is usually prepared using rice, coconut and finely grated squash. You can use any different type of squash like Mangalore cucumber, white or yellow pumpkin. Traditionally they are steamed using a banana leaf which also gives a nice flavor and aroma to the dumpling. You can make these as a healthy start for your breakfast or even serve it as a snack during your evening time.",Mangalorean,South Indian Breakfast,Vegetarian,"

							 		1 cup Idli Rice							 		, washed and dried							 	

							 		1/2 cup Fresh coconut 

							 		1 Cucumber							 		, grated							 	

							 		1 tablespoon Sugar 

Salt							 		, a pinch, or to taste							 	
","To begin making the Mangalore Style Southe Gatti, we will wash the rice thoroughly with water and place them spread over a table cloth so that it dries away faster.Grind it in a mixer to a smooth powder, keep it aside add coconut and grind that also to a coarse mixture.Mix all the rest of the ingredients into a bowl and you will have a consistency of a dropping batter.Heat a vegetable steamer, if you are using a banana leaf cut them into rectangular shape and place the batter in the center and fold it tightly and carefully place it inside the steamer. You can as well use a parchment paper.Steam them for at least 15 minutes and serve hot.Â Serve the Mangalore Style Southe Gatti along withÂ coconut chutney,Â tomato onion chutneyÂ to enjoy the breakfast.",757,169.0226,13.2275,0.26
Semolina Vegetable Chilla Recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/iti.archana13-gmail.com/SEMOLINA_VEGETABLE_CHILA_.jpg,Semolina Vegetable Chila is a perfect way to feed vegetables toÂ yourÂ kids. It is a little time consuming but itâs worth it. Not only itâs tasty but is really healthy also. And the best part is that itâs almost oil free. You can also make this chila for your breakfast and can pack it for your lunch too.Â ,Indian,Indian Breakfast,Vegetarian,"

							 		1-1/2 cup Sooji (Semolina/ Rava) 

							 		1/2 cup Whole Wheat Flour 

							 		1/2 cup Water 

							 		1 Onion							 		, finely chopped							 	

							 		1 Tomato							 		, finely chopped							 	

							 		1 cup Curd (Dahi / Yogurt) 

							 		1/4 cup Carrot (Gajjar)							 		, grated							 	

							 		1/4 cup Raw papaya							 		, grated							 	

							 		1/4 cup Cabbage (Patta Gobi/ Muttaikose)							 		, grated							 	

							 		1/4 cup Green Bell Pepper (Capsicum)							 		, grated							 	

							 		2 Green Chillies							 		, finely chopped							 	

Coriander (Dhania) Leaves							 		, few (chopped)							 	

							 		1/2 teaspoon Black pepper powder 

Salt							 		, to taste							 	

							 		1 teaspoon Extra Virgin Olive Oil 
","To begin making the Semolina Vegetable Chila recipe, In a bowl, make a batter of semolina, curd, and water by mixing them together. Add Wheat flour too. The consistency of the batter should not be runny, neither it should be too thick. Let the batter rest for at least 20-25 minutes.Now in the mixture add all the vegetables, salt and pepper. If after adding vegetables the batter becomes thick then add a little water or curd.Now take a non-stick pan and put it on low medium flame.Brush it with little olive oil. Once the pan is hot, pour a big ladle of mixture and spread it evenly on the pan. It should be thin like a pancake.Put the lid on and let the chila gets cooked in steam on low flame for 5-7 minutes. Once a while flip the chila, so that both sides get cooked evenly and yellowish golden in colour. Make rest of the chilas in a similar way.ServeÂ Semolina Vegetable Chila along withÂ Dhaniya Pudina Chutney,Â Tomato ChutneyÂ or any other chutney of your choice for your breakfast or as a tea time snack.",185,34.3882,5.290525,9.5878
Potato Sagu Recipe for Rava Idli,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/Preethi_Kitchen_appliances_video_recipe_Karnataka_Style_Aloo_Sagu_recipe-2.jpg,"Potato curry or bhaji is cooked in various styles across the country. One such version is the potato sagu recipe which is very popular in Karnataka usually served alongside Rava Idlis, Set dosa and others in eateries like darshinis and restaurants.Â ",South Indian Recipes,South Indian Breakfast,Vegetarian,"

							 		3 Potatoes (Aloo)							 		, boiled and mashed							 	

							 		1 Onion							 		, finely chopped							 	

							 		2 Green Chillies							 		, slit (adjust taste)							 	

							 		1/2 inch Ginger							 		, grated							 	

							 		2 sprig Curry leaves 

							 		1/2 teaspoon Mustard seeds (Rai/ Kadugu) 

							 		2 teaspoon White Urad Dal (Split) 

							 		1 tablespoon Chana dal (Bengal Gram Dal) 

							 		1/4 teaspoon Asafoetida (hing)							 		, +a pinch							 	

							 		1/2 teaspoon Turmeric powder (Haldi) 

							 		1 tablespoon Coriander Powder (Dhania) 

							 		2 tablespoons Coriander (Dhania) Leaves							 		, chopped							 	

							 		1 teaspoon Sugar 

							 		1/2-1 tablespoon Lemon juice 

Salt							 		, to taste							 	

Oil							 		, as needed							 	
","To begin making Potato Sagu Recipe for Rava Idli, get prepped up with all the ingredients. In a kadai, heat some oil and add mustard seeds and let the seeds splutter.Once they splutter, add chana dal and urad dal and saute till they change slightly brown in colour.Once done add curry leaves, a pinch of asafoetida, green chilies, and grated ginger and sautÃ© it for a few seconds.After few seconds add onions, turmeric powder and a pinch of salt and cook until the onions are cooked but not browned.Once the onions are cooked add the mashed potatoes, remaining asafoetida and turmeric powder, coriander powder, chili powder, salt and sugar and stir well to combine.Add a cup of water and cook until you see a gravy consistency, continue to cook for 5-6 minutes on a low heat so that the potatoes absorb all the flavor.Once the potato sagu has reached the desired consistency add chopped coriander leaves and lemon juice. Stir to combine and turn off the heat.Transfer the potato sagu into a serving bowl and serve.Â ServeÂ Potato Sagu Recipe for Rava Idli withÂ Broccoli Rava IdliÂ andÂ Green Coriander Coconut ChutneyÂ for a wholesome breakfast.",586,133.9814417,16.51490833,17.17969583
Aloo Poha Recipe - Batata Poha,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Breakfast_Tiffins/Indian_Aloo_Batata_Poha_with_Pomegranates_Recipe_Archanas_Kitchen-1.jpg,"Aloo Poha also known as the Batata Poha brings with it delicious tastes and textures of sweetness, sourness, softness and crunchiness. It is made tangy and spicy from green chillies and lemon juice along with boiled potatoes that further enhances the texture.",Indian,Indian Breakfast,Vegetarian,"

							 		2 cups Poha (Flattened rice) 

							 		2 Potatoes (Aloo)							 		, boiled, peeled & cubed							 	

							 		1/4 cup Green peas (Matar)							 		, steamed							 	

							 		1/2 teaspoon Mustard seeds (Rai/ Kadugu) 

							 		1/2 teaspoon Cumin seeds (Jeera) 

							 		1 sprig Curry leaves							 		, finely chopped							 	

							 		2 Onion							 		, finely chopped							 	

							 		2 Green Chillies							 		, slit lengthwise							 	

							 		2 inch Ginger							 		, finely chopped							 	

							 		1/2 teaspoon Turmeric powder (Haldi) 

							 		1/4 teaspoon Asafoetida (hing) 

							 		2 teaspoons Sugar 

							 		2 Lemons							 		, juice extracted							 	

							 		2 tablespoon Roasted Peanuts (Moongphali) 

							 		2 tablespoons Oil 

							 		2 tablespoons Coriander (Dhania) Leaves							 		, finely chopped							 	

							 		3/4 cup Fresh Pomegranate Fruit Kernels							 		, to serve							 	

Salt							 		, to taste							 	
Alternative Ingredients: You can use the following ingredients in addition to the potatoes

							 		1/2 cup Sweet corn							 		, steamed							 	

							 		1/2 cup Green Moong Sprouts 
","To begin making the Aloo Poha Recipe-Batata Poha Recipe, we will first rinse the poha or flattened rice under cold water and drain any excess water. Using a large strainer for washing helps ease the rinsing process. Transfer the rinsed rice to a large bowl; stir in the turmeric, salt, sugar, asafoetida and keep aside.Heat oil in a pan on medium heat; add the mustard seeds, cumin seeds and allow them to crackle.Once the seeds have crackle stir in the onions, curry leaves, ginger, green chillies and sautÃ© until the onions are tender and become translucent. Now stir in the potatoes and sautÃ© for a couple of minutes till potatoes are cooked.Once done gradually stir in the flattened rice mixture into the onion and potato mixture.Sprinkle about 3 tablespoons of water and gently stir to combine all the ingredients. Turn the heat to low, cover the pan with a lid and let it simmer for 4-5 minutes. You will notice the flattened rice has fluffed up a little.Once the poha is done turn off heat and stir in the freshly squeezed lemon juice, steamed peas, roasted peanuts and chopped coriander leaves. Let the aloo poha sit covered for another minute.Serve the Aloo/Batata Poha hot sprinkled with pomegranate and a hot cup of chai made withÂ chai ka masalaÂ or withÂ Beet Latte Recipe.Â ",585,113.453475,19.453175,18.56375
Ragi Kuzhi Paniyaram Recipe with Ragi Dosa Batter,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Breakfast_Tiffins/Ragi_Batter_Kuzhipaniyaram_Recipe-6.jpg,"Healthy Ragi Kuzhi Paniyaram Recipe is a very traditional South Indian breakfast dish, that breaks the monotony of idli and dosa.",South Indian Recipes,South Indian Breakfast,Diabetic Friendly,"

							 		2 cups Ragi Dosa Battter 

							 		2 tablespoons Fresh coconut							 		, grated							 	

							 		1/4 cup Carrots (Gajjar)							 		, grated, (or chopped spinach, finely minced cabbage) - optional							 	

							 		1 Onion							 		, finely chopped							 	

							 		1 Green Chilli							 		, finely chopped (adjust spice)							 	

							 		1 sprig Curry leaves							 		, finely chopped							 	

							 		1/4 teaspoon Mustard seeds (Rai/ Kadugu) 

Salt							 		, to taste							 	

Oil							 		, to drizzle							 	
","To begin making the Healthy Ragi Kuzhi Paniyaram Recipe, in a small pan heat the oil, add the mustard seeds and curry leaves. Allow it to crackle. Add the chopped onions and saute until onions are tender.Combine all the ingredients- fresh coconut, grated carrots, green chillies, curry leaves including the prepared onion mixture into the dosa batter.Grease the paniyaram pan by addingÂ half a teaspoon of oil into each of the cavities of the kuzhi paniyaram pan. Spoon the ragi dosaÂ batter into the cavities of the pan. Place the pan on medium heat and cover with a lid.AfterÂ a 3 to 4Â minutesÂ of steaming, you will notice the tops of the paniyaram cooked and steamed.At this point, turn over eachÂ paniyaramÂ and allow it to cook the other side. This time around don't cover with a lid. Allow it to cook on medium low heat until the bottom is browned and crisp.Once done, remove and arrange on serving trays.Â Proceed the same way with the remaining KuzhiÂ Paniyaram batter.Â ServeÂ The Healthy Ragi Kuzhi Paniyaram Recipe withÂ Tomato Onion Chutney | Thakkali Vengayam ChutneyÂ andÂ Adrak Chai RecipeÂ for a wholesome breakfast or pack into a kids school lunch box or even serve as an after school snack.Because the paniyaram is made from ragi, it makes this dish a diabetic friendly recipe that you can serve as aÂ diabetic snackÂ or aÂ diabetic breakfast.Â ",598,31.7516,6.67875,16.0284
Mushroom Masala Cheese Omelette Recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/admin/Mushroom_Masala_Cheese_Omelette_Recipe.jpg,"Mushroom Masala Cheese Omelette Recipe is a wholesome and highÂ proteinÂ omelette that is packed with taste from mushrooms, green chillies and coriander. The addition of cheese adds to the creaminess and fluffiness.Â Â ",Continental,Indian Breakfast,High Protein Non Vegetarian,"

							 		2 Whole Eggs 

							 		10 Button mushrooms							 		, roughly chopped							 	

							 		1/2 Onion							 		, finely chopped							 	

							 		1 Green Chilli							 		, finely chopped							 	

							 		1/2 Tomato							 		, finely chopped							 	

							 		4 Black olives							 		, finely chopped							 	

							 		1 tablespoon Cheese							 		, grated							 	

Coriander (Dhania) Leaves							 		, a small bunch chopped							 	

Salt and Pepper							 		, to taste							 	

							 		1 teaspoon Oil							 		, for cooking							 	
","To begin making Mushroom Masala Omelette Recipe, first prep all the ingredients and keep them ready.In a mixing bowl, break the eggs and whisk them up well along with salt, pepper, olives, cheese and tomatoes. Keep this aside.Heat oil in an omelette pan over medium heat; add the mushrooms, onions and green chillies and saute until the onions and mushrooms are slightly roasted.Â Once roasted, add the egg omelette cheese mixture into the roasted onion and mushrooms.Swirl the pan to spread the omelette mixture and gently combine the onions and mushrooms and spread it around.Keep the heat on low and cook the omelette until you notice the top is getting steamed and cooked. You can also optionally cover the pan and cook the omelette faster.Once the top is cooked, fold the omelette into half and cook for another few minutes is required and turn off the heat. You can also optionally flip the omelette and cook it on both sides.Serve the Mushroom Masala Omelette along with a Toast, fruits and a cup ofÂ Masala ChaiÂ orÂ Filter Coffee.",206,21.88632718,8.208728663,6.190411111
Foxtail Millet Upma Recipe,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2019/Foxtail_Millet_Upma_Recipe_video_4_1600.jpg,"Foxtail Millet Upma Recipe is a wholesome breakfast or dinner dish that can be made with just a few ingredients. With a little bit of planning by having vegetables chopped the previous night, preparing this dish in the morning for the family gives me a sense of satisfaction.",South Indian Recipes,South Indian Breakfast,Diabetic Friendly,"

							 		1 teaspoon Sesame (Gingelly) Oil 

							 		1/4 teaspoon Mustard seeds (Rai/ Kadugu) 

							 		1 teaspoon White Urad Dal (Split) 

							 		2 sprig Curry leaves							 		, finely chopped							 	

							 		1 Green Chilli 

							 		1 Dry Red Chilli 

							 		1/2 cup Onion							 		, finely chopped							 	

							 		1 inch Ginger							 		, finely chopped							 	

							 		1/4 teaspoon Turmeric powder (Haldi) 

							 		1/4 cup Carrot (Gajjar)							 		, finely chopped							 	

							 		1/4 cup Green beans							 		, finely chopped							 	

							 		1 cup Foxtail Millet 

							 		1 Lemon							 		, salt to taste							 	

							 		2 tablespoons Coriander (Dhania) Leaves							 		, juice from one lemon							 	

							 		1 tablespoon Ghee 
","To begin making the Foxtail Millet Upma, heat oil in a pressure cooker over medium heat; add mustard seeds and split urad dal and allow it to crackle. Allow the urad dal to turn golden brown and crisp.Once the dal is golden brown, add the green chilli and red chilli and saute for a few seconds.Add the onion, ginger and saute until the onions soften.Â  Once the onion softens, add the curry leaves, turmeric powder, beans, carrots, foxtail millet, salt and 2-1/2Â  cups of water.Cover the pressure cooker and pressure cook the millet upma for 5 to 6 whistles and simmer for 5 minutes and turn off the heat. Allow the pressure to release naturallyOnce the pressure releases, give it a gentle stir. Squeeze in the juice from one lemon and stir in the chopped coriander leaves.Â ServeÂ Foxtail Millet Upma RecipeÂ along withÂ Tomato Onion Chutney RecipeÂ orÂ coconut chutneyÂ andÂ  South Indian Filter Coffee Â for a wholesome breakfast.",164,44.29757292,5.889409375,11.64979167
Chettinad Style Tomato Vermicelli Upma Recipe,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2018/Breakfast_Plate_Chettinad_Style_Tomato_Vermicelli_Upma_Banana_Dhaniya_Pudina_Chutney-3.jpg,"Chettinad Style Tomato Vermicelli is a spicy south indian style semiya upma that can be made for a special sunday breakfast. The Tomato Vermicelli is packed with flavors from the tomatoes along with the spices, making it rich and delicious.Â ",Chettinad,South Indian Breakfast,Vegetarian,"

							 		1 cup Semiya (Vermicelli)							 		, roasted							 	

							 		1 Pearl onions (Sambar Onions)							 		, finely chopped							 	

							 		4 cloves Garlic							 		, finely chopped							 	

							 		1 inch Ginger							 		, finely chopped							 	

							 		3 Tomatoes							 		, roughly chopped							 	

							 		1/4 cup Mint Leaves (Pudina)							 		, finely chopped							 	

							 		1 teaspoon Fennel seeds (Saunf)							 		, coarsely pounded							 	

							 		1 teaspoon Mustard seeds (Rai/ Kadugu) 

							 		1 teaspoon Whole Black Peppercorns							 		, coarsely pounded							 	

							 		1 inch Cinnamon Stick (Dalchini) 

							 		2 Cloves (Laung) 

							 		1 sprig Curry leaves 

							 		1 teaspoon Red Chilli powder 

							 		1/2 teaspoon Turmeric powder (Haldi) 

							 		1 tablespoon Lemon juice 

Oil							 		, as required							 	

Salt							 		, to taste							 	
","To begin making the Chettinad Style Tomato Vermicelli Recipe, heat a pan with cookingÂ oil on medium heat, add the mustard seeds, cinnamon stick, cloves, curry leaves and let it splutter.Stir in the onions, ginger and garlic and saute for a couple of minutes. Once the onions soften, add the tomatoes and saute for a few seconds.Â Add the fennel seeds, black pepper corns, turmeric powder, red chilli powder and cook until it all combined together. Stir in the mint leaves, semiya, salt and 1 1/2 cups of water.Â Cover the pan and allow theÂ Chettinad Style Tomato Vermicelli to cook on low to medium heat until all the water is absorbed and the semiya upma is cooked.Â Once done, turn off the heat, stir in the lemon juice and gently mix everything together.Serve the Chettinad Style Tomato Vermicelli alongÂ Tomato Onion Chutney,Â Â Coconut Coriander ChutneyÂ and Sliced bananas. End the south indian breakfast along with a hot cup ofÂ Espresso coffee.",512,124.43973,2.457275,7.85725
Palak (Spinach) Puri Recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Raksha_Kamat/Palak_Puris.jpg,"Palak Puri Recipe are not regular puri recipe, they are attractive and delicious made up of whole wheat and palak or spinach. These puris turn out to be green on adding spinach pure. Spinach is rich in iron and supplies enough nutrients.Consumption of spinach regularly protects us from certain types of cancers, promotes bone and brain health, maintains blood pressure and since it is rich in vitamin A it also protects eye health.",Indian,Indian Breakfast,Vegetarian,"

							 		1 cup Whole Wheat Flour 

							 		20 Spinach Leaves (Palak)							 		, chopped							 	

							 		1/4 inch Ginger							 		, peeled and chopped							 	

							 		1 Green Chilli							 		, chopped							 	

							 		1 teaspoon Cumin powder (Jeera) 

							 		1 tablespoon Water 

							 		2 tablespoon Oil							 		, more to deep fry							 	
","To begin with the Palak Puri Recipe, first chop spinach, ginger and green chilies and boil them together.After boiling strain the water and leave it aside for 15 minutes till the water is drained.After cooling, take the boiled contents from the strainer and add to a mixer and make a thin puree. Do not add water, just make a puree.Now in a mixing bowl add Vivatta whole wheat flour and the prepared pure, add some oil to the flour, cumin powder and salt. Mix them to together to make dough.Do not add excess water as palak will release water on its own. Now cover the dough with a muslin cloth and keep it aside for 30 minutes.After 30 minutes again, mould the dough and make small marble sized balls.Make small balls out of the dough and dust the rolling table with whole wheat flour and flatten the puris with the rolling pin. See to that you make small thick size round out of the dough.As you have rolled all the dough now, heat a KadaiÂ and add oil. When oil gets heated, gently add a flattened puri.Using a frying spoon or slotted spoon gently press the puri, put some hot oil on top and move in a circular way.You will notice that the puri gets puffed and rises up. At this point, turn it to the other side and fry till it turns golden brown. Do not keep the puri in oil for more than 2 Minutes else it will become brittle.Drain it on kitchen towel.Continue the deep frying process for all the other flattened puris.Serve Palak Puris withÂ Lahori AlooÂ and any raita of your choice.",27,6.0135,1.82625,1.41
Chole Semiya Pulao Recipe - Chickpea Vermicelli Pulao,https://www.archanaskitchen.com/images/archanaskitchen/0-Affiliate-Articles/chole_semiya_pulao.jpg,Chole Semiya Pulao recipe is a delicious combination of Vermicelli along with high protein chickpeas. We always make Chole Biryani or Chole Pulao but have you ever tried making this Chole Semiya?,Indian,Indian Breakfast,Vegetarian,"

							 		1-1/2 cups Semiya (Vermicelli)							 		, roasted							 	

							 		2 Onions							 		, peeled and chopped							 	

							 		1 Green Bell Pepper (Capsicum)							 		, chopped							 	

							 		1 Carrot (Gajjar)							 		, peeled and chopped							 	

							 		1/2 cup Kabuli Chana (White Chickpeas)							 		, soaked for 8 hours & boiled until soft							 	

							 		1 tablespoon Oil							 		, as required							 	

							 		2 teaspoons Ghee 

							 		1 teaspoon Cumin seeds (Jeera) 

							 		1/2 teaspoon Red Chilli powder 

							 		1/2 teaspoon Turmeric powder (Haldi) 

							 		1/2 teaspoon Coriander Powder (Dhania) 

							 		1/2 teaspoon Cumin powder (Jeera) 

							 		1/2 teaspoon Amchur (Dry Mango Powder) 

							 		1/2 teaspoon Chana Masala Powder 

Salt							 		, to taste							 	

Coriander (Dhania) Leaves							 		, as required, chopped for garnishing							 	
","To begin making the Chole Semiya Pulao recipe, firstly boil water (almost 3 cups) in a pan. Add a little salt, semiya and boil it for about 5 to 7 minutes until the semiya is cooked.Once the semiya is cooked, drain the semiya well and wash it under running water. Let it drain completely.Fluff it gently with a fork and keep it aside.Heat oil and ghee in a heavy bottomed pan. Add cumin seeds and when it starts spluttering, add the onions. SautÃ© till it turns soft and translucent.Add the chopped carrot and sautÃ© for few seconds. Now add the capsicum and continue to sautÃ© for few seconds.Â Once the carrot and capsicum are soft, add turmeric powder, red chilli powder, coriander powder, cumin powder, dry mango powder, chole masala powder and salt to taste.Mix well and let it cook for about 2 minutes. After 2 minutes, add in the cooked chickpeas and mix everything well.Now add the semiya, turn the heat to high and cook the Chole Semiya Pulao for about a minute or two. Check the salt and spiced and adjust the taste ofÂ Chole Semiya Pulao accordingly. Garnish with chopped coriander leaves and serve hot.ServeÂ Chole Semiya PulaoÂ on its own for breakfast with a cup ofÂ Filter Coffee/Â Masala ChaiÂ or pack it your Lunch Box with a bowl of Curd andÂ Satvik Carrot Sprouts Salad.",1352,271.9596044,25.37458444,29.49811111
Karwar style Tousali Recipe-Cucumber Steamed Cake,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Karwar_style_Tousali_Recipe_Cucumber_cake_Recipe.jpg,Karwar style Tousali Recipe-Cucumber Steamed cake is a delicious cake made from grated cucumber which is then steamed. The cucumber adds a wonderful taste and gives freshness to the whole dish.,Karnataka,South Indian Breakfast,Vegetarian,"

							 		1 Cucumber							 		, grated							 	

							 		1/2 cup Rice 

							 		2 tablespoon Sooji (Semolina/ Rava) 

							 		1/2 cup Fresh coconut 

							 		1 teaspoon Ghee 

							 		1/2 teaspoon Jaggery 

							 		1 teaspoon Enos Fruit Salt 

Salt							 		, to tasteÂ 							 	
","To begin making the Karwar style Tousali Recipe-Cucumber Steamed Cake by soaking the rice in water for 2 hours and then drain the water, spread the rice on a kitchen paper towel to let it dry completely.Then using a mixer, grind the rice to a coarse mixture and not too smooth and add it to a mixing bowl.Add the remaining ingredients to the batter, mix well. Add the batter on a greased dhokla plate.Steam the batter in the Dhokla steamer for about 10 minutes and serve.Serve theÂ Karwar style Tousali Recipe-Cucumber Steamed CakeÂ along withÂ Green Chutney RecipeÂ Â to make it your breakfast meal.",345,71.7143,12.561,4.7615
Karwar Style Kalingana Polo Recipe - Watermelon Rind Dosa,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/nithya.anantham/Kalingana_Polo_Recipe_Karwar_Style_Watermelon_Rind_Dosas.jpg,"Karwar Style Kalingana Polo Recipe - Watermelon Rind DosaÂ is a traditional dosa recipe from the Karwar region. Watermelon rinds are usually discarded, however this unique dosa is prepared using the rinds. It is said that the maximum amount of nutrients are actually stored in the watermelon rind. The watermelon rind dosa's are easy to prepare with minimal ingredients. The watermelon rind and coconut added to the batter renders a subtle sweetness to the dosa's. Unlike the other dosa variants, this one is prepared by pouring a ladle full on the hot griddle and not spread it. It is then left to cook with a lid on to let the dosa cook in its own steam. It is soft and porous.",Karnataka,South Indian Breakfast,Vegetarian,"

							 		1 cup Dosa rice 

							 		1 cup Watermelon rind 

							 		1/2 cup Fresh coconut							 		, grated							 	

							 		1/2 cup Poha (Flattened rice)							 		, soaked							 	

Salt							 		, to taste							 	
","To begin making Karwar StyleÂ Kalingana Polo Recipe- Watermelon Rind Dosa, wash and soak the dosa rice in water for 2 hours before we proceed to make the batter.Likewise, wash and drain the poha in water using a strainer and keep aside.Now in a mixer grinder, grind the watermelon rind along with grated coconut to a smooth paste. Take it out in a mixing bowl.Add the soaked poha and dosa rice, season with salt and make a smooth dosa batter by adding very little water.The consistency of the batter should be a little thick.Leave the batter to ferment for 6 hours, before proceeding to make the dosas.Now, heat a dosa griddle/fat cast iron tawa on a medium heat, brush it with a little oil, pour a ladle full of the dosa batter, pour a teaspoon of oil on the sides. Cover it with a lid and let the dosa cook in its own steam till done.Remove it on a plate and proceed to make rest of the Kalingana Polo similarly with the remaining batter.Serve theÂ Karwar StyleÂ Kalingana Polo Recipe- Watermelon Rind Dosa along withÂ Coconut Chutney RecipeÂ andÂ Dali Thoy Recipe (Karwar Style Toor dal Curry)Â for the weekend breakfast.",641,91.36,9.164,7.2
